Category,Term ,Definition
Disease/Illness,Athlete’s Foot,"A fungal infection of the feet, leading to itching, peeling, and cracked skin."
Disease/Illness,Restless Leg Syndrome,"An uncontrollable urge to move the legs, especially at night, leading to discomfort and disrupted sleep"
Disease/Illness,Swimmer’s Ear,"An ear infection caused by trapped water in the ear canal, leading to pain, itching, and discharge"
Disease/Illness,Sciatica,"Pain that radiates along the sciatic nerve, often due to irritation, inflammation, or pressure on the nerve"
Disease/Illness,Indigestion,"Discomfort or pain in the stomach associated with eating, including bloating and gas."
Symptom,Flu-like Symptoms,"A general term for symptoms that resemble the flu, including fever, chills, muscle aches, and fatigue."
Symptom,Fever,"Elevated body temperature, often a sign of infection."
Symptom,Chills,"A sensation of cold accompanied by shivering, often caused by the body's response to fever, infection, or sudden changes in temperature, as it works to regulate internal body heat"
Symptom,Muscle aches,"Soreness or stiffness in muscles, sometimes due to overuse or viral illness."
Symptom,Fatigue,Persistent feeling of tiredness or lack of energy not relieved by rest.
Symptom,Nausea,A sensation of unease and discomfort in the stomach with an urge to vomit
Symptom,Insomnia,"Difficulty falling or staying asleep, leading to reduced quality and duration of sleep"
Symptom,Back Pain,"Pain or discomfort in the lower or upper back, often due to strain or posture issues"
Symptom,Anxiety,"Feelings of worry, nervousness, or unease, typically about an imminent event or uncertain outcome."
Symptom,Dizziness,"A sensation of spinning or losing one’s balance, often caused by dehydration, anxiety, or sudden movement"
Symptom,Heartburn,"A burning pain in the chest, often after eating, due to acid reflux."
Symptom,Constipation,"Difficulty in emptying the bowels, usually associated with hard stools"
Symptom,Headache,"Pain or discomfort in the head, scalp, or neck, with various potential causes."
Symptom,Cough,"Reflex to clear the throat of mucus or irritants, often due to respiratory infection"
Symptom,Joint Pain,"Discomfort, aches, or soreness in the joints, which can occur in various parts of the body."
Symptom,Sore Throat,Pain or irritation of the throat that can worsen when swallowing.
Symptom,Menstrual Cramps,Pain in the lower abdomen associated with menstruation
Symptom,Shortness of Breath,"Difficulty breathing or feeling of insufficient air intake, sometimes due to physical exertion."
Symptom,Chest Pain,"Discomfort or pain in the chest that may stem from various causes, including muscle strain or respiratory issues."
Symptom,Swelling,"Enlargement or puffiness of a body part, often due to injury or inflammation."
Symptom,Abdominal Pain,"Pain in the abdomen, which can be caused by digestive issues, cramps, or other factors."
Symptom,Loss of Appetite,"Reduced desire to eat, which can accompany other illnesses or stress"
Symptom,Abnormal Bleeding,"Unusual bleeding from the nose, gums, or other areas, often indicative of a clotting issue or injury."
Symptom,Blurred Vision,"Loss of sharpness in sight, making objects appear out of focus or hazy."
Symptom,Cold Sensitivity,"Unusual discomfort when exposed to cold temperatures, potentially indicating thyroid problems or circulation issues."
Symptom,Cramping,"Sudden, involuntary muscle contractions causing pain, often in the abdomen or limbs."
Symptom,Difficulty Swallowing (Dysphagia),"Trouble moving food or liquid from the mouth to the stomach, potentially due to an obstruction or nerve problem."
Symptom,Double Vision (Diplopia),"Seeing two images of a single object, often due to misalignment of the eyes or neurological issues."
Symptom,Dry Mouth,Reduced saliva production leading to a parched or sticky feeling in the mouth.
Symptom,Earache,"Pain in or around the ear, often due to infection or inflammation."
Symptom,Excessive Sweating (Hyperhidrosis),"Sweating more than is typical, even in cool conditions or without exertion."
Symptom,Eye Twitching,"Involuntary muscle contractions in the eyelid, often due to fatigue or stress."
Symptom,Facial Swelling,"Puffiness or enlargement of the face, possibly due to allergic reactions or fluid retention."
Symptom,Frequent Urination,"The need to urinate more often than usual, potentially due to diabetes or a urinary tract infection."
Symptom,Generalized Weakness,"A lack of strength or energy throughout the body, often linked to fatigue or illness."
Symptom,Hair Loss (Alopecia),Thinning or loss of hair from the scalp or other parts of the body.
Symptom,Heart Racing (Tachycardia),A rapid heartbeat that may feel irregular or pounding.
Symptom,Hoarseness,"A change in the voice that sounds raspy, strained, or softer than usual, often due to laryngitis."
Symptom,Hot Flashes,"Sudden feelings of warmth, often over the face and neck, sometimes accompanied by sweating."
Symptom,Itching (Pruritus),"A sensation that causes a desire to scratch, often due to dry skin or allergic reactions."
Symptom,Jaw Pain,"Discomfort in the jaw area, which can be related to teeth, joints, or nerve issues."
Symptom,Lightheadedness,"A feeling of being about to faint or lose balance, often due to dehydration or low blood pressure."
Symptom,Loss of Taste (Ageusia),"The inability to perceive flavors, often associated with viral infections or nerve damage."
Symptom,Muscle Stiffness,"Difficulty in moving muscles smoothly, often accompanied by soreness or pain."
Symptom,Nasal Drip,Excessive mucus dripping down the back of the throat from the nose.
Symptom,Numbness,"Loss of sensation or feeling in a part of the body, often due to nerve damage or poor circulation."
Symptom,Pale Skin (Pallor),"Unusually light skin tone, often a sign of anemia or poor circulation."
Symptom,Pounding Headache,"A severe, throbbing pain in the head, often described as pulsating."
Symptom,Rashes,"Red, inflamed, or irritated skin that may be itchy or painful."
Symptom,Ringing in the Ears (Tinnitus),"Perception of a ringing, buzzing, or hissing sound in the absence of external noise."
Symptom,Shaking (Tremors),"Involuntary, rhythmic muscle movements, often due to neurological issues or anxiety."
Symptom,Shortened Breath Sounds,"A decrease in the usual sounds of air movement during breathing, indicating possible lung issues."
Symptom,Skin Discoloration,"Abnormal changes in skin color, such as yellowing (jaundice) or bluish tints (cyanosis)."
Symptom,Slurred Speech,"Difficulty pronouncing words clearly, often due to neurological conditions or intoxication."
Symptom,Stiff Neck,"Difficulty or pain in moving the neck, often associated with muscle strain or meningitis."
Symptom,Swollen Glands,"Enlarged lymph nodes, often tender to touch, indicating infection or immune response."
Symptom,Tingling Sensation,"A pins-and-needles feeling, often due to nerve compression or damage."
Symptom,Unintended Weight Gain,"Increase in body weight without changes in diet or activity, possibly linked to hormonal issues."
Symptom,Unintended Weight Loss,"A decrease in body weight without effort, often a sign of illness or malnutrition."
Symptom,Vomiting Blood (Hematemesis),"The expulsion of blood through vomiting, indicating possible gastrointestinal bleeding."
Symptom,Watery Eyes,"Excessive tearing, often caused by irritation or infection."
Symptom,Wheezing,"A high-pitched whistling sound during breathing, often due to airway obstruction or asthma."
Treatments,Antibiotics,Medications used to treat bacterial infections by killing bacteria or inhibiting their growth.
Treatments,Antiviral Therapy,Medications designed to treat viral infections by inhibiting the replication of viruses.
Treatments,Chemotherapy,The use of drugs to kill or slow the growth of cancer cells
Treatments,Radiation Therapy,The use of high-energy radiation to destroy cancer cells or shrink tumors
Treatments,Immunotherapy,Treatment that boosts or modifies the immune system to fight diseases like cancer or autoimmune disorders.
Treatments,Physical Therapy (Physiotherapy),"Exercises and physical interventions to improve movement, strength, and reduce pain after injury or illness"
Treatments,Occupational Therapy,"Therapy to help individuals develop or regain the ability to perform daily activities after injury, illness, or disability"
Treatments,Cognitive Behavioral Therapy (CBT),A form of psychotherapy that helps individuals manage mental health conditions by changing thought patterns.
Treatments,Surgery,"A medical procedure involving an incision to repair, remove, or treat internal conditions."
Treatments,Vaccination,Administration of a vaccine to stimulate the immune system to protect against infectious diseases.
Treatments,Dialysis,"A treatment to remove waste, toxins, and excess fluid from the blood when the kidneys are not functioning properly."
Treatments,Bone Marrow Transplant,Replacement of damaged or destroyed bone marrow with healthy bone marrow cells.
Treatments,Insulin Therapy,Use of insulin injections or pumps to manage blood sugar levels in people with diabetes.
Treatments,Dietary Management,"Tailoring a diet to manage or treat a medical condition, such as diabetes or food allergies."
Treatments,Oxygen Therapy,The delivery of extra oxygen to the lungs to treat conditions like COPD or hypoxia.
Treatments,Anticoagulants (Blood Thinners),Medications that prevent blood clots or treat existing clots.
Treatments,Antihistamines,"Medications that block histamines to treat allergies, hives, and itching."
Treatments,Steroid Therapy,Use of corticosteroids to reduce inflammation in conditions like asthma or arthritis.
Treatments,Pain Management (Analgesics),"The use of medications like acetaminophen, NSAIDs, or opioids to relieve pain."
Treatments,Antidepressants,Medications to treat depression and other mood disorders by balancing brain chemicals.
Treatments,Hormone Replacement Therapy (HRT),"Replacement of hormones, such as estrogen or testosterone, to manage symptoms of hormonal imbalance"
Treatments,Anticonvulsants,Medications used to prevent or reduce the frequency of seizures.
Treatments,Bronchodilators,Medications that relax airway muscles to improve breathing in asthma or COPD patients.
Treatments,Blood Transfusion,Transferring blood or blood products into a patient to treat conditions like severe anemia or blood loss
Treatments,Psychotherapy,"Various forms of talk therapy to treat mental health disorders, such as anxiety or PTSD."
Treatments,IV Fluids,Intravenous delivery of fluids to treat dehydration or provide nutrients and medications.
Treatments,Wound Debridement,Removal of dead or infected tissue to promote healing of a wound.
Treatments,Palliative Care,Treatment focused on relieving symptoms and improving quality of life in serious illnesses.
Treatments,Anti-inflammatory Medications,Drugs like ibuprofen or naproxen used to reduce inflammation and pain.
Treatments,Antipyretics,Medications such as acetaminophen or ibuprofen to reduce fever.
Treatments,Inhalers,"Devices delivering medication directly to the lungs, used for asthma or other respiratory conditions."
Treatments,Electroconvulsive Therapy (ECT),A psychiatric treatment involving electrical stimulation of the brain to treat severe depression or bipolar disorder.
Treatments,CPAP Therapy (Continuous Positive Airway Pressure),A treatment for sleep apnea that keeps airways open using constant airflow.
Treatments,Acupuncture,A traditional treatment using thin needles inserted into specific points on the body to alleviate pain or promote healing.
Treatments,Massage Therapy,"Manipulation of soft tissues to reduce pain, improve circulation, and relieve stress."
Treatments,Topical Medications,"Creams, ointments, or patches applied to the skin to treat localized conditions like rashes or pain"
Treatments,Antiemetics,Medications to prevent or treat nausea and vomiting.
Treatments,Sterile Dressing,Application of sterile material to protect a wound from infection and promote healing.
Treatments,Antifungal Medications,Drugs to treat fungal infections like athlete’s foot or ringworm.
Treatments,Stent Placement,A procedure to insert a small mesh tube into a blocked artery to keep it open.
Treatments,Prosthetics,Artificial devices used to replace missing limbs or other body parts.
Treatments,Cryotherapy,"Treatment involving extreme cold to remove abnormal tissues, such as warts or certain skin cancers."
Treatments,Rehabilitation Programs,"Structured programs to restore function and health after surgery, injury, or addiction."
Treatments,Detoxification (Detox),"The process of removing toxins from the body, often used in addiction recovery."
Treatments,Corticosteroid Injections,Injections to reduce inflammation in conditions like joint pain or tendinitis.
Treatments,Laser Therapy,"Use of focused light beams to treat skin conditions, remove tumors, or improve vision (e.g., LASIK)."
Treatments,Chiropractic Care,Manual adjustment of the spine and other joints to relieve pain and improve function.
Treatments,Pacemaker Implantation,Insertion of a device to regulate abnormal heart rhythms.
Treatments,Antacid Therapy,Medications to neutralize stomach acid and relieve indigestion or heartburn.
Treatments,Cognitive Rehabilitation,Therapy to improve thinking and memory skills in people with brain injuries or neurological conditions.
Treatments,Hyperbaric Oxygen Therapy (HBOT),Breathing pure oxygen in a pressurized chamber to treat conditions like decompression sickness or non-healing wounds
Treatments,Extracorporeal Shock Wave Therapy (ESWT),Use of acoustic waves to treat chronic pain or improve healing in musculoskeletal injuries.
Treatments,Stem Cell Therapy,Treatment using stem cells to repair or replace damaged tissues or cells.
Treatments,Platelet-Rich Plasma (PRP) Therapy,Injection of concentrated platelets to promote healing in injuries or conditions like tendinitis.
Treatments,Carpal Tunnel Release,A surgical procedure to relieve pressure on the median nerve in the wrist.
Treatments,Deep Brain Stimulation (DBS),Implantation of electrodes in the brain to treat movement disorders like Parkinson’s disease.
Treatments,Biofeedback Therapy,A technique to train patients to control physiological functions like heart rate or muscle tension through feedback devices.
Treatments,Hydrotherapy,"The use of water in various forms (hot baths, whirlpools) for pain relief and relaxation."
Treatments,Lithotripsy,A procedure using shock waves to break up kidney stones or gallstones.
Treatments,Balloon Angioplasty,Insertion of a small balloon into a blood vessel to widen it and improve blood flow.
Treatments,Cupping Therapy,A traditional treatment using suction cups on the skin to increase blood flow and reduce muscle tension.
Treatments,Antipsychotic Medications,Drugs used to treat psychiatric conditions like schizophrenia or bipolar disorder by altering brain chemistry.
Treatments,Smoking Cessation Therapy,Treatments like nicotine replacement or counseling to help patients quit smoking.
Treatments,Gene Therapy,Modifying or replacing defective genes to treat genetic disorders or certain cancers.
Treatments,Bloodletting,"A traditional treatment still used in specific modern contexts, like treating hemochromatosis or polycythemia"
Treatments,Knee Arthroscopy,A minimally invasive surgery to diagnose or treat knee joint problems.
Treatments,Tracheostomy,Surgical creation of an opening in the trachea to assist with breathing.
Treatments,Radiofrequency Ablation (RFA),"A procedure that uses heat from radio waves to destroy abnormal tissue, such as in heart arrhythmias or cancer."
Treatments,Bariatric Surgery,Weight-loss surgeries like gastric bypass or sleeve gastrectomy for obesity management.
Treatments,Neurostimulation Therapy,"Electrical stimulation of nerves to relieve pain or improve function, often used for chronic pain or epilepsy."
Treatments,Peritoneal Dialysis,A type of dialysis where waste is filtered through the lining of the abdomen instead of using a machine.
Treatments,Probiotic Therapy,"Use of beneficial bacteria or yeasts to restore gut health, often after antibiotic use."
Treatments,Orthotic Devices,"Custom-made braces or inserts to support and align the body, often used for orthopedic conditions."
Treatments,Therapeutic Hypothermia,Deliberate cooling of the body to reduce brain damage after cardiac arrest or stroke.
Treatments,Manual Lymphatic Drainage,A gentle massage technique to reduce swelling and improve lymphatic flow.
Treatments,Sedation Dentistry,Use of sedatives to help patients relax during dental procedures.
Treatments,Vagus Nerve Stimulation (VNS),Implantation of a device that stimulates the vagus nerve to treat epilepsy or depression.
Treatments,Hormonal IUD Placement,Insertion of an intrauterine device that releases hormones for contraception or to manage menstrual disorders.
Treatments,Laser Lithotripsy,Use of laser energy to break up stones in the urinary tract.
Treatments,Cryosurgery,"Use of extreme cold to destroy abnormal tissue, such as warts or certain types of cancer."
Treatments,Episiotomy,A surgical incision made in the perineum during childbirth to prevent tearing.
Treatments,Scar Revision Surgery,A procedure to minimize the appearance of scars and restore skin function.
Treatments,Compression Therapy,Use of compression garments or devices to improve circulation and treat conditions like lymphedema or varicose veins.
Treatments,Transcranial Magnetic Stimulation (TMS),Non-invasive brain stimulation using magnetic fields to treat depression or anxiety.
Treatments,Spinal Decompression Therapy,"A nonsurgical treatment to relieve pressure on spinal discs, often used for herniated discs."
Treatments,Pelvic Floor Therapy,Exercises and therapies to strengthen pelvic floor muscles and address incontinence or pelvic pain.
Treatments,Desensitization Therapy,Gradual exposure to allergens or triggers to reduce sensitivity and allergic reactions.
Treatments,Hair Transplant Surgery,Moving hair follicles from one part of the body to another to treat baldness or hair loss.
Treatments,Intravenous Immunoglobulin (IVIG),Infusion of antibodies to boost the immune system in autoimmune or immunodeficient conditions.
Treatments,Nerve Block Injections,Injections of anesthetics or steroids near nerves to reduce pain or inflammation.
Treatments,Endovascular Coiling,A minimally invasive procedure to treat brain aneurysms by filling them with coils to prevent rupture.
Treatments,Corneal Transplant,Replacement of damaged or diseased corneal tissue with healthy donor tissue.
Treatments,Phototherapy,Use of specific wavelengths of light to treat conditions like jaundice in newborns or seasonal affective disorder.
Treatments,Behavioral Modification Therapy,"Techniques to change unhealthy behaviors, often used for conditions like obesity or addiction."
Treatments,Custom Prosthetics Fitting,Designing and fitting personalized prosthetic limbs for improved function and comfort.
Treatments,Scleral Buckling,A surgical procedure to treat retinal detachment by indenting the sclera.
Treatments,Continuous Glucose Monitoring (CGM),Use of wearable devices to track blood sugar levels in real time for diabetes management.
Treatments,Endoscopic Sinus Surgery,A minimally invasive procedure to remove blockages and improve sinus drainage.
Treatments,Tonsillectomy,"Surgical removal of the tonsils, often to treat recurrent infections or breathing problems."
Treatments,Sound Therapy,"Use of sound waves or music to reduce stress, improve sleep, or manage tinnitus."
Lab Test,Complete Blood Count (CBC),"A blood test that evaluates overall health and detects a variety of disorders, such as anemia, infection, and leukemia, by measuring red and white blood cells, hemoglobin, and platelets."
Lab Test,Basic Metabolic Panel (BMP),"Measures glucose, calcium, and electrolyte levels, as well as kidney function markers like blood urea nitrogen (BUN) and creatinine."
Lab Test,Comprehensive Metabolic Panel (CMP),"Includes all BMP tests and additional markers for liver function, such as albumin, bilirubin, and liver enzymes (ALT, AST, ALP)"
Lab Test,Lipid Panel,"Measures levels of cholesterol and triglycerides in the blood, including LDL (bad cholesterol) and HDL (good cholesterol), to assess cardiovascular health."
Lab Test,Thyroid Function Tests (TFTs),"Measures levels of thyroid hormones (T3, T4) and thyroid-stimulating hormone (TSH) to evaluate thyroid gland function."
Lab Test,Hemoglobin A1c (HbA1c),"Reflects average blood sugar levels over the past 2-3 months, used to diagnose and monitor diabetes."
Lab Test,Prothrombin Time (PT) and INR,"Measures the time it takes for blood to clot, used to evaluate clotting disorders or monitor anticoagulant therapy."
Lab Test,Activated Partial Thromboplastin Time (aPTT),"Evaluates the function of certain clotting factors, often used to monitor heparin therapy."
